,title,Achievement_rate,amount,people
0,大自然的香水茶，栀子花香,118%,11871.0,49
1,无言SC-K506W智能空气炸锅,105%,10512.0,48
2,智能可烧水电热保温杯 冬天出门如“饮随行,117%,11781.0,119
3,三围暖脚器 给你从脚到全身的温暖,103%,10385.0,73
4,快充充电宝移动电源 大容量大功率超级快充,103%,10388.0,106
5,【除螨神器，解放双手】无线自动除螨仪,138%,13873.0,83
6,车载腰靠头枕套装【护颈撑腰·行车更舒心】,106%,10664.0,58
7,暖萌暖水袋 婴儿般肌肤的感觉 温暖相伴,106%,10695.0,155
8,中国潮音联名潮玩周边,143%,14352.0,264
9,双人互动解谜游戏！奥秘之家制作推荐,260%,78014.0,393
10,疆品严选天然长棉被，产地直供，星级标准,101%,10152.0,66
11,儿童双材质刷头训练牙刷,840%,252006.4,7036
12,蒙娜卡—A3服装热转印烫画印花打印机,216%,108000.0,6
13,【天山豚】一款纯有机无添加的洁面泡泡,404%,202310.0,1634
14,宜兴匠心紫砂壶●会升值的【子冶石瓢】,2900%,29008.0,112
15,全球首发儿童智能指纹保温杯 守护您的安全,1034%,206975.0,875
16,水镜源芝麻酱系列  有机甄选 芝麻原香,511%,102200.0,950
17,国潮不止一面——三星堆博物馆金属考古盲盒,109%,10998.0,51
18,智能便携式无线车载充气泵 速充黑科技,107%,10716.0,57
19,热水器漏电安全保护器 智能切断保障安全,1616%,161657.0,1163
20,不偏不倚—防偏跟时尚商务男士皮鞋,190%,95228.0,266
21,森暮—美肤花洒 让每一次沐浴都像肌肤重生,106%,53018.0,266
22,镂空金葫芦 手工制作 精制奢华,101%,20366.0,34
23,智能车载负离子空气净化器 高效净化空气,116%,11663.0,107
24,范史时—星河系水晶蓝宝石机械腕表,1007%,503844.0,116
25,安全式自开收时尚商务伞 自带精美防水袋,2590%,259059.0,3663
26,双汉银河—驱蚊宝  你的户外专用驱蚊神器,204%,102014.0,981
27,手工窨制桂花九曲红梅-龙井红茶,139%,13957.0,83
28,多功能刀筷消毒机【杀菌·烘干·收纳】,106%,10634.0,103
29,【粘剃两用·毛球克星】毛球修剪器+粘毛筒,103%,10377.0,144
30,wuliii原创可变形宠物窝垫人宠共用,116%,11621.0,139
31,古博戈—智能便携私密保险盒 守住你的秘密,608%,304102.0,439
32,朴乡人—原味手工鸡蛋卷  寻找儿时的味道,515%,103089.0,933
33,【优选】茉莉花茶-引花入茶，沁人心脾,132%,13283.0,137
34,正品天然和田玉手串 天地之精华,111%,11166.0,34
35,多功能厨卫集成电器 为爱下厨清凉相伴,101%,10150.0,418
36,多功能护眼台灯，保护每一双稚嫩双眼,109%,10916.0,174
37,【除皱好帮手】 手持挂烫机，干湿两用,105%,10590.0,136
38,智能自动上水器，便捷饮水好搭档,102%,10215.0,158
39,桂花红茶，三分桂花香，七分红茶甜,121%,12115.0,93
40,皮肤细胞修复因子面膜，唤醒肌肤的光彩,351%,70389.0,43
41,Ninebot九号国标智能平衡车L双轮腿控体感车,2209%,2209362.0,218
42,铜师傅 《陕历博宝物团》系列作品,3985%,1992832.0,3948
